,avg_ids,Teff,parallax,parallax_error,m336,m439,m656,m814,m435,m555,m658,m775,m850,m110,m160,m130,m139,e336,e439,e656,e814,e435,e555,e658,e775,e850,e110,e160,e130,e139,f_m336,f_m439,f_m656,f_m814
506,1063.0,,,,,,,,,27.259266001209458,22.87504486429989,24.138631009786096,22.92322819827572,,19.43,20.1738,20.0813,,,,,,1.7189665526109277,0.8133115187590554,0.0773414349614927,0.0562594353417512,20.9435,0.16,0.361357,0.000935997,,,,
507,1065.0,,,,,,,,26.26920288912996,24.85874650600725,22.73944616138813,21.50515770376993,20.28262423144305,,,17.4731,17.2555,,,,,0.3556546441825896,0.135640986780785,0.5425185505879538,0.0081417896075155,0.0063014601167741,,,0.00781165,0.012914,,,,
508,1067.0,,,,,,,,28.184296071664708,26.157249411381297,,25.509148615066717,23.31571410370416,,,,,,,,,1.7747204177020772,0.3476448018066913,,0.2578195049859162,0.073671123456715,,,,,,,,
509,1068.0,3125.0,2.549126542668217,0.17694208,22.3425,,17.0112,16.4577,22.967105264788486,21.276318836558023,18.450102282492203,17.66564233647943,16.43156735768436,14.87,14.02,14.0504,14.2039,0.2454,22.372,0.0594,0.0187,0.0201005711123975,0.0061790624639479,0.0120506208980455,0.0008655261910861,0.0007499784599692,0.013,0.013,0.0181794,0.0178706,1.0,2.0,1.0,1.0
510,1070.0,,,,,,,,22.6737270678162,22.38817454532919,18.670152204656397,21.51248400889424,20.08803501206028,,,16.7933,16.4849,,,,,0.0186941217310146,0.0179926812172684,0.0159769744843443,0.0049882629693717,0.003225983113386,,,0.0105831,0.0249106,,,,
511,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,1077.0,,,,,,,,27.32143174158283,25.884504061004712,,22.160432103882577,20.935705501015427,,,17.8535,17.6881,,,,,1.2334775348388012,0.2933507784391724,,0.0129609027213817,0.0097425353062171,,,0.00932221,0.00149571,,,,
513,1079.0,,2.933047814197349,1.7239429,,,,19.4151,23.171887372839493,22.23686335515687,19.064026064615096,20.401212611040503,19.68619644842393,,,17.6888,17.5335,21.9963,22.441,19.1475,0.1102,0.020545028049632,0.0094240646194565,0.0204424348103758,0.0026070832400913,0.0028895072146557,,,0.00509468,0.0152513,2.0,2.0,2.0,1.0
514,1083.0,,,,,,,,26.464559273213094,,25.010844057072056,24.92795218070776,22.96994358346236,,,19.6158,19.3882,,,,,0.340782680194345,,2.7210450650523725,0.1535875003167774,0.054777394894368,,,0.043505,0.0158486,,,,
515,1084.0,,,,,,,,25.903902035056618,,23.211831330170018,23.574750698911892,21.324981971142986,,,17.8232,18.1597,,,,,0.4601763026610457,,1.1622906352055382,0.0524351639007561,0.0148411091372907,,,0.0143798,0.0361111,,,,
516,1086.0,3305.0,2.763359042168413,0.27937678,18.5536,18.2437,14.4321,13.5963,19.037293464426632,17.48173847381369,15.720310677490808,,,,,11.8368,11.848,0.0232,0.0278,0.013,0.0111,0.0012881708926071,0.000642658538894,0.0015618446489195,,,,,0.0123736,0.00277293,1.0,1.0,1.0,1.0
517,1088.0,,,,,,,,,25.320476211202852,22.330227370188258,23.14106322330363,21.98820830650364,,,19.0562,18.6837,,,,,,0.1669890572649106,0.2287122348222505,0.0282636161121351,0.0290146782354061,,,0.00531144,0.0087056,,,,
518,1090.0,,,,,,,,25.821846141052227,26.16885731642198,21.88218406769954,22.713601286759268,21.4815478448223,,,18.8016,18.7895,,,,,0.2105366614090649,0.3506270002785964,0.2023770171249282,0.0195598523934279,0.0139770652592093,,,0.0387079,0.0348707,,,,
519,1092.0,,,,,,,,27.02030801309511,24.318263872107668,22.16374957953644,20.9168692839158,19.75344025336815,,,16.9852,16.7333,,,,,0.8298039870900003,0.0807324658119233,0.3736176822467957,0.0056260882101392,0.0046211390619723,,,0.0200786,0.0168877,,,,
520,1094.0,3305.0,2.763359042168413,0.27937678,18.7088,18.2808,14.492,13.7593,19.74102376886532,18.53677726579032,16.43045346699785,,,,,12.9269,12.8307,0.026,0.0288,0.0134,0.0112,0.0019000802786862,0.0011040044615523,0.0023944321061586,,,,,0.707208,0.64393,1.0,1.0,1.0,1.0
521,1096.0,,,,,,,,28.65695540498288,26.89208660671072,22.08359798775924,24.81028361339391,23.009430193060663,,,20.9497,20.8128,,,,,4.311998885405633,1.1410968125809235,0.3608900414155053,0.0945662403149889,0.0534363197704405,,,0.463569,0.135764,,,,
522,1100.0,,,,,,,,26.12040461221445,25.7638105861594,23.08072569287457,23.86752198049874,22.905554216934338,,19.51,19.8745,19.5975,,,,,0.3237362444104125,0.3100332750386744,0.8572132249476994,0.0614531283437818,0.0540564545688053,20.6381,0.166,0.00496726,0.0285517,,,,
523,1102.0,,,,,,,,,24.64739102402231,,21.518687632830492,20.512473477727788,,,17.5056,17.3418,,,,,,0.1033106735996091,,0.010229849209478,0.0087901302925594,,,0.00770647,0.000265697,,,,
524,1103.0,3695.0,0.924608430574788,0.071957625,21.0788,20.1389,15.8338,14.6068,20.767634799467405,18.54141815223076,16.639240124157272,15.785192683463658,14.713826379760825,12.83,11.45,12.0711,11.8353,0.0885,0.0647,0.023,0.0118,0.003577526754756,0.0010958287642017,0.0027074562178013,0.0003565692727856,0.0003415020920679,0.005,0.004,0.0163697,0.0127208,1.0,1.0,1.0,1.0
525,1105.0,,,,,,,,,,,,,,,21.0231,20.7976,,,,,,,,,,,,0.570733,0.0246646,,,,
526,1107.0,3648.0,1.663447566653918,0.21962376,17.2739,16.3555,13.2468,12.7241,,,,,,,,11.164,11.1073,0.0136,0.0127,0.0124,0.0107,,,,,,,,0.115761,0.0343096,1.0,1.0,1.0,1.0
527,1109.0,,,,,,18.7593,,25.419024457286376,24.03246238079831,21.847693593523832,20.89233678696189,19.715221873496663,,,17.014,16.8251,,21.6205,0.1392,,0.1560267411673258,0.0495052675890947,0.1598825568827454,0.0038147240738769,0.0029767349028268,,,0.00946141,0.00489473,0.0,2.0,1.0,0.0
528,1113.0,,,,,,,,,,21.87502266307604,23.765565986628108,22.13097486210277,,,19.1319,18.8359,,,,,,,0.3546917003198867,0.063170689117987,0.0316737381442133,,,0.0210599,0.0475762,,,,
529,1115.0,,,,,,,,25.714872206497315,24.6152831868582,22.350235231888902,21.302083679267817,20.17885652352189,,,,,,,,,0.2554154267597254,0.0844537515397996,0.2207199662415484,0.0063972662419239,0.0051088807930992,,,,,,,,
530,1117.0,3648.0,1.663447566653918,0.21962376,17.2739,16.3555,13.2468,12.7241,,,,,,,,11.0598,10.9492,0.0136,0.0127,0.0124,0.0107,,,,,,,,0.0130709,0.0132092,1.0,1.0,1.0,1.0
531,1119.0,,,,,,,,27.95443287248417,28.598525460040246,,22.35146247607095,21.373925645210704,,,,,,,,,2.758992774961768,6.627751999726333,,0.0191086379101289,0.0162466582835007,,,,,,,,
532,1121.0,,,,,,,,27.618730426206845,25.006027705294937,22.422429647212635,21.954602442859816,21.11760204778913,,,18.8484,18.6484,,,,,2.1482583908275226,0.1241678470123767,0.3044400343664005,0.0084462065987769,0.0081742410508109,,,0.0199157,0.0149361,,,,
533,1125.0,,,,,,,,28.46472251508401,25.967940729972028,23.17533344428166,23.03244546961044,21.785021678040746,19.904,18.44,19.1338,18.8166,,,,,3.984713624431205,0.3629870060746569,0.6908998268544861,0.0278707491608869,0.0196543841532137,0.137,0.101,0.0346279,0.0343299,,,,
534,1127.0,,,,,,,,,,,23.72783603187948,22.11061397259662,,,,,,,,,,,,0.0606619517844811,0.0283558361522499,,,,,,,,
535,1129.0,3844.0,2.57857437207066,0.051492505,18.8546,17.8095,14.4793,13.8421,18.526709986381817,17.02515461066662,15.462641291323296,15.37689889789627,14.430359839091231,,,12.026,11.9093,0.0251,0.0192,0.0123,0.0109,0.0006955974127311,0.0003644955073356,0.0009505316627828,0.0002140524408219,0.0002199521972607,,,0.0138067,0.0112148,1.0,1.0,1.0,1.0
536,1133.0,,3.89366700786455,0.20258756,,,,,,,,,,,,14.8233,14.8144,,,,,,,,,,,,0.010011,0.0260756,,,,
537,1135.0,,,,,,,,25.791370436733903,25.473636076286365,21.967231208454123,22.935341728565664,21.59195177977824,,,18.623,18.417,,,,,0.2875420014404538,0.235806933750261,0.3658477769027303,0.0248609408867868,0.0163040438511935,,,0.00400089,0.0148317,,,,
538,1138.0,2967.0,2.3125863171325944,0.1756159,,,,,22.855116691954144,21.269585197219698,19.26004091023928,17.879553435915422,16.765327708583236,,,14.6579,14.7491,,,,,0.0144694096878365,0.0051708192824732,0.0139808049883359,0.0009454964699413,0.0008655717499074,,,0.0258879,0.0129129,,,,
539,1140.0,,,,,,,,,,,23.597588790892974,21.627270364675372,,,18.5895,18.4224,,,,,,,,0.04462045632306,0.0161375065918837,,,0.0147844,0.0618268,,,,
540,1142.0,,1.382993801129699,0.2151048,,,,,22.87254006073133,20.84769970211488,19.148766027829232,18.260951072971075,17.396184533574605,,,15.1067,14.9131,,,,,0.0179810657765235,0.003813232647384,0.0122393827473873,0.0011333069235915,0.0011614768989581,,,0.00237641,0.00584122,,,,
